Kabupaten/Kota,Periode,Luas Panen,Curah Hujan,Kelembapan,Suhu,Kecepatan Angin,Sinar Matahari,Produksi
Kabupaten Banyuwangi,Juni 2024,3908.26,152.0,86.97,24.36,8.93,8.76,22222.12
Kabupaten Banyuwangi,Juli 2024,1650.9,169.2,86.42,23.3,9.85,9.38,9386.91
Kabupaten Banyuwangi,Agustus 2024,4141.9,107.8,83.19,23.36,9.07,10.19,23550.58
Kabupaten Banyuwangi,September 2024,10063.97,103.1,83.1,24.27,9.18,10.43,61509.14
Kabupaten Banyuwangi,Oktober 2024,8722.35,93.0,81.23,25.15,9.62,11.07,53309.41
Kabupaten Banyuwangi,November 2024,4118.18,139.5,81.63,25.89,9.3,10.62,25169.54
Kabupaten Banyuwangi,Desember 2024,2257.69,339.4,83.35,25.85,12.6,7.45,13798.6
Kabupaten Bondowoso,Januari 2018,1582.0,459.6,86.9,23.2,14.73,6.49,8154.93
Kabupaten Bondowoso,Februari 2018,2912.0,408.1,86.61,23.18,12.57,8.35,15008.83
Kabupaten Bondowoso,Maret 2018,8004.0,334.7,86.52,23.23,9.58,9.72,40514.92
Kabupaten Bondowoso,April 2018,7765.0,107.1,80.6,23.66,10.68,10.79,39903.57
Kabupaten Bondowoso,Mei 2018,6019.0,11.4,68.65,24.42,13.28,10.83,29549.95
Kabupaten Bondowoso,Juni 2018,3913.0,24.4,73.87,23.73,12.54,10.36,19214.13
Kabupaten Bondowoso,Juli 2018,5675.0,24.7,69.03,23.19,13.09,10.84,27867.64
Kabupaten Bondowoso,Agustus 2018,3923.0,7.8,66.61,23.29,14.47,10.98,19266.87
Kabupaten Bondowoso,September 2018,2040.0,6.8,56.43,24.6,15.93,11.19,11080.07
Kabupaten Bondowoso,Oktober 2018,1872.0,10.7,57.87,25.65,16.17,11.55,10170.13
Kabupaten Bondowoso,November 2018,3311.0,200.1,76.67,24.57,11.29,10.67,17985.68
Kabupaten Bondowoso,Desember 2018,2783.0,260.6,85.19,23.91,12.59,8.81,15118.56
Kabupaten Bondowoso,Januari 2019,4072.0,779.1,89.0,23.32,13.2,7.59,19154.67
Kabupaten Bondowoso,Februari 2019,3410.0,293.1,87.61,23.44,10.85,9.33,16305.45
Kabupaten Bondowoso,Maret 2019,6423.0,499.0,87.74,23.34,11.5,8.5,30329.06
Kabupaten Bondowoso,April 2019,8008.0,262.3,86.67,23.68,10.47,9.63,38176.7
Kabupaten Bondowoso,Mei 2019,5561.0,37.4,76.1,24.18,10.44,10.71,24377.45
Kabupaten Bondowoso,Juni 2019,6342.0,10.9,69.43,23.85,11.7,10.73,27795.15
Kabupaten Bondowoso,Juli 2019,5370.0,10.6,65.29,23.56,13.62,10.95,23535.66
Kabupaten Bondowoso,Agustus 2019,3760.0,6.3,64.58,23.69,16.45,10.92,16481.16
Kabupaten Bondowoso,September 2019,2739.0,3.9,59.27,24.63,16.05,11.28,14389.28
Kabupaten Bondowoso,Oktober 2019,1986.0,12.3,53.23,26.02,17.33,11.59,10430.65
Kabupaten Bondowoso,November 2019,3589.0,134.1,67.63,25.23,12.12,11.44,18853.52
Kabupaten Bondowoso,Desember 2019,2197.0,439.7,83.29,24.38,9.56,10.01,11543.19
Kabupaten Bondowoso,Januari 2020,3490.0,269.6,84.71,24.16,13.72,9.46,18181.82
Kabupaten Bondowoso,Februari 2020,4501.0,637.0,90.69,23.53,10.35,8.45,23444.7
Kabupaten Bondowoso,Maret 2020,1995.0,475.3,89.26,23.54,11.3,8.65,10395.02
Kabupaten Bondowoso,April 2020,11426.0,213.0,87.4,23.52,9.93,9.69,59121.56
Kabupaten Bondowoso,Mei 2020,6369.0,67.7,81.55,24.32,11.08,10.14,27602.76
Kabupaten Bondowoso,Juni 2020,6064.0,22.2,75.73,23.75,11.43,10.78,26303.89
Kabupaten Bondowoso,Juli 2020,6298.0,26.9,71.16,23.67,13.06,10.89,27318.26
Kabupaten Bondowoso,Agustus 2020,3572.0,11.3,63.45,24.55,14.54,10.84,15490.44
Kabupaten Bondowoso,September 2020,2059.0,35.6,63.17,25.09,14.91,11.28,10428.88
Kabupaten Bondowoso,Oktober 2020,2722.0,110.2,69.9,24.93,13.93,10.76,13787.52
Kabupaten Bondowoso,November 2020,3177.0,296.2,77.8,24.43,12.46,9.59,16091.82
Kabupaten Bondowoso,Desember 2020,2537.0,495.7,86.23,23.44,12.63,7.43,12851.81
Kabupaten Bondowoso,Januari 2021,2796.0,425.1,88.16,23.22,13.15,6.23,14739.3
Kabupaten Bondowoso,Februari 2021,2706.0,579.5,88.32,23.13,14.34,8.01,14274.66
Kabupaten Bondowoso,Maret 2021,7211.0,371.0,86.42,23.23,10.41,9.11,37559.38
Kabupaten Bondowoso,April 2021,8211.0,166.9,82.07,23.36,10.49,9.92,43022.78
Kabupaten Bondowoso,Mei 2021,5894.0,34.5,75.0,24.36,11.59,10.78,28852.4
Kabupaten Bondowoso,Juni 2021,4770.0,57.6,78.6,23.75,12.1,10.61,23350.76
Kabupaten Bondowoso,Juli 2021,6521.0,6.2,65.61,23.89,13.23,10.6,31927.95
Kabupaten Bondowoso,Agustus 2021,3126.0,23.8,72.06,23.92,13.48,10.93,15306.49
Kabupaten Bondowoso,September 2021,2139.0,88.0,71.6,24.29,13.51,10.88,10285.11
Kabupaten Bondowoso,Oktober 2021,2774.0,66.9,72.1,24.75,11.63,11.31,13332.86
Kabupaten Bondowoso,November 2021,2640.0,586.6,87.77,23.37,9.9,7.76,12687.96
Kabupaten Bondowoso,Desember 2021,2832.0,313.9,84.94,23.93,12.42,8.79,13611.81
Kabupaten Bondowoso,Januari 2022,2918.1,363.2,84.1,23.47,12.77,8.17,14393.68
Kabupaten Bondowoso,Februari 2022,2747.05,301.7,86.11,23.21,11.82,8.05,13967.88
Kabupaten Bondowoso,Maret 2022,7609.32,300.5,87.45,23.49,10.13,9.07,37513.22
Kabupaten Bondowoso,April 2022,7221.56,319.2,84.33,23.32,10.41,10.01,36719.36
Kabupaten Bondowoso,Mei 2022,6446.7,179.2,84.03,23.76,11.02,9.68,31670.35
Kabupaten Bondowoso,Juni 2022,4419.64,121.0,81.83,23.19,10.87,10.22,21768.59
Kabupaten Bondowoso,Juli 2022,4705.88,38.9,75.06,23.29,11.14,10.88,23118.32
Kabupaten Bondowoso,Agustus 2022,2749.35,46.1,72.06,23.85,12.55,10.89,13506.58
Kabupaten Bondowoso,September 2022,2200.96,85.0,69.53,24.4,12.75,10.98,10697.93
Kabupaten Bondowoso,Oktober 2022,2830.66,276.2,82.1,23.58,11.03,9.59,13976.62
Kabupaten Bondowoso,November 2022,1995.21,273.6,85.2,23.49,10.16,8.16,9697.87
Kabupaten Bondowoso,Desember 2022,2396.27,394.4,83.19,23.39,13.03,8.55,11647.25
Kabupaten Bondowoso,Januari 2023,2536.2,262.0,80.94,23.79,16.34,8.79,12534.31
Kabupaten Bondowoso,Februari 2023,3679.39,516.4,86.21,23.29,16.45,7.14,18119.04
Kabupaten Bondowoso,Maret 2023,7134.86,351.3,84.74,23.32,10.98,9.74,34054.33
Kabupaten Bondowoso,April 2023,7464.76,218.1,84.63,23.68,11.09,8.98,36892.04
Kabupaten Bondowoso,Mei 2023,5731.27,58.0,75.52,23.79,12.12,10.51,28360.25
Kabupaten Bondowoso,Juni 2023,5223.04,13.5,72.7,24.2,11.19,10.75,25845.35
Kabupaten Bondowoso,Juli 2023,4679.1,50.0,73.94,23.67,12.14,10.57,23189.07
Kabupaten Bondowoso,Agustus 2023,2879.6,2.1,65.45,24.28,13.42,10.93,14249.23
Kabupaten Bondowoso,September 2023,2323.33,4.1,61.43,25.0,15.84,11.24,11439.47
Kabupaten Bondowoso,Oktober 2023,3133.24,14.5,55.65,26.62,18.02,11.58,15427.25
Kabupaten Bondowoso,November 2023,3204.35,99.7,69.27,26.16,11.77,11.34,15970.39
Kabupaten Bondowoso,Desember 2023,2375.84,146.1,78.55,25.11,10.76,10.32,11698.01
Kabupaten Bondowoso,Januari 2024,2471.54,298.3,81.81,24.85,13.19,9.17,13288.81
Kabupaten Bondowoso,Februari 2024,3972.11,373.3,87.45,24.33,9.79,9.53,21356.98
Kabupaten Bondowoso,Maret 2024,6756.95,507.1,88.23,24.33,9.61,8.5,35639.77
Kabupaten Bondowoso,April 2024,7005.38,196.1,85.93,24.69,9.96,9.43,37076.51
Kabupaten Bondowoso,Mei 2024,6435.97,15.5,73.48,25.38,11.15,10.83,32077.29
Kabupaten Bondowoso,Juni 2024,6549.46,50.2,72.53,24.74,11.02,10.73,32642.94
Kabupaten Bondowoso,Juli 2024,4663.58,13.3,68.35,24.1,11.98,10.6,23243.59
Kabupaten Bondowoso,Agustus 2024,3370.32,12.9,65.0,24.58,13.17,10.98,16754.43
Kabupaten Bondowoso,September 2024,2142.53,41.4,65.3,25.28,14.47,11.23,10761.27
Kabupaten Bondowoso,Oktober 2024,2587.2,48.6,62.55,26.28,15.5,11.54,13128.05
Kabupaten Bondowoso,November 2024,2413.39,330.4,81.33,24.89,12.87,10.29,12246.11
Kabupaten Bondowoso,Desember 2024,2241.19,419.9,85.39,24.44,15.51,7.44,11261.93
Kabupaten Situbondo,Januari 2018,817.0,444.6,86.94,26.05,15.34,7.37,4550.95
Kabupaten Situbondo,Februari 2018,2522.0,427.9,86.96,25.98,13.89,9.64,14030.42
Kabupaten Situbondo,Maret 2018,7704.0,293.0,85.77,26.42,10.66,10.4,42350.73
Kabupaten Situbondo,April 2018,5066.0,65.1,77.1,27.4,13.71,10.95,27406.32
Kabupaten Situbondo,Mei 2018,1774.0,11.8,65.97,27.93,18.57,10.87,10061.44
Kabupaten Situbondo,Juni 2018,2061.0,18.0,67.8,27.52,17.75,10.59,11726.58
Kabupaten Situbondo,Juli 2018,5136.0,5.6,62.06,27.09,18.61,10.87,29274.44
Kabupaten Situbondo,Agustus 2018,1408.0,2.7,60.81,26.97,21.11,10.98,8031.97
Kabupaten Situbondo,September 2018,1169.0,5.3,58.1,27.87,21.99,11.2,6401.55
Kabupaten Situbondo,Oktober 2018,940.0,0.7,58.55,28.76,20.33,11.58,5149.73
Kabupaten Situbondo,November 2018,1647.0,142.1,70.93,28.54,15.98,11.18,9018.15
Kabupaten Situbondo,Desember 2018,1379.0,222.5,81.35,27.21,13.49,9.64,7552.89
Kabupaten Situbondo,Januari 2019,1110.0,774.9,88.19,26.32,15.06,8.47,6477.13
Kabupaten Situbondo,Februari 2019,3100.0,168.8,86.32,26.65,11.65,10.28,17990.17
Kabupaten Situbondo,Maret 2019,5705.0,385.2,87.1,26.4,12.69,9.27,33206.15
Kabupaten Situbondo,April 2019,6170.0,223.5,84.6,26.87,12.37,10.31,35507.12
Kabupaten Situbondo,Mei 2019,1949.0,32.1,72.19,27.57,14.76,10.86,10234.93
Kabupaten Situbondo,Juni 2019,2107.0,3.9,66.07,27.16,19.15,10.76,11117.08
Kabupaten Situbondo,Juli 2019,3534.0,7.7,63.13,26.79,21.56,10.93,18589.22
Kabupaten Situbondo,Agustus 2019,1967.0,3.8,61.9,26.86,20.96,10.97,10336.66
Kabupaten Situbondo,September 2019,1090.0,1.1,61.07,27.3,23.75,11.23,5755.65
Kabupaten Situbondo,Oktober 2019,1171.0,0.9,58.84,28.62,21.11,11.58,6187.31
Kabupaten Situbondo,November 2019,1193.0,19.0,63.4,29.26,17.0,11.68,6300.91
Kabupaten Situbondo,Desember 2019,1130.0,199.0,79.16,28.24,13.32,10.94,5963.21
Kabupaten Situbondo,Januari 2020,1256.0,457.3,85.29,27.05,13.78,9.63,6544.22
Kabupaten Situbondo,Februari 2020,2608.0,406.3,89.03,26.68,13.34,9.63,13569.28
Kabupaten Situbondo,Maret 2020,4820.0,278.0,87.55,26.85,12.29,9.92,25051.37
Kabupaten Situbondo,April 2020,7042.0,220.3,85.13,27.03,11.8,9.96,36436.02
Kabupaten Situbondo,Mei 2020,2867.0,186.3,80.26,27.47,15.23,10.26,14641.32
Kabupaten Situbondo,Juni 2020,1862.0,14.3,71.3,27.25,15.85,10.82,9516.72
Kabupaten Situbondo,Juli 2020,2646.0,14.9,64.65,27.35,18.39,10.98,13523.17
Kabupaten Situbondo,Agustus 2020,2501.0,4.7,62.65,27.76,20.84,10.84,12772.49
Kabupaten Situbondo,September 2020,1577.0,3.1,60.33,28.63,21.58,11.22,8920.61
Kabupaten Situbondo,Oktober 2020,1037.0,59.2,66.42,28.51,18.92,10.75,5872.93
Kabupaten Situbondo,November 2020,1500.0,132.9,74.97,28.07,15.42,9.97,8492.46
Kabupaten Situbondo,Desember 2020,812.0,507.6,86.55,26.3,14.34,8.38,4587.6
Kabupaten Situbondo,Januari 2021,1754.0,429.0,88.19,26.02,13.68,7.41,8907.76
Kabupaten Situbondo,Februari 2021,2426.0,409.7,87.82,26.03,16.4,9.07,12337.07
Kabupaten Situbondo,Maret 2021,5998.0,310.4,86.39,26.35,11.6,10.36,30484.29
Kabupaten Situbondo,April 2021,5979.0,166.6,79.33,26.77,13.22,9.98,30377.93
Kabupaten Situbondo,Mei 2021,2067.0,38.6,74.03,27.57,16.92,10.87,10057.92
Kabupaten Situbondo,Juni 2021,2005.0,78.0,78.27,27.03,16.79,10.74,9750.98
Kabupaten Situbondo,Juli 2021,2855.0,12.3,65.29,27.05,17.45,10.66,13889.32
Kabupaten Situbondo,Agustus 2021,3140.0,13.1,64.29,27.85,20.01,11.0,15273.82
Kabupaten Situbondo,September 2021,1053.0,23.0,64.1,28.25,19.4,10.85,5089.28
Kabupaten Situbondo,Oktober 2021,795.0,62.1,65.68,28.5,17.61,11.4,3829.92
Kabupaten Situbondo,November 2021,674.0,365.5,84.8,26.63,11.65,8.58,3246.47
Kabupaten Situbondo,Desember 2021,1643.0,292.3,84.9,26.72,12.71,9.05,7912.36
Kabupaten Situbondo,Januari 2022,1158.05,309.4,85.58,26.17,15.15,9.15,6141.38
Kabupaten Situbondo,Februari 2022,2192.81,287.5,86.21,26.06,14.71,9.06,11665.28
Kabupaten Situbondo,Maret 2022,6643.09,318.0,87.16,26.43,12.47,10.04,35238.65
Kabupaten Situbondo,April 2022,4973.39,150.6,81.03,26.77,12.73,10.24,26438.18
Kabupaten Situbondo,Mei 2022,1502.94,176.7,82.1,26.96,13.45,9.79,7540.35
Kabupaten Situbondo,Juni 2022,1386.65,101.8,77.33,26.73,13.97,10.44,6956.29
Kabupaten Situbondo,Juli 2022,3103.44,45.4,70.39,26.79,17.5,10.95,15569.44
Kabupaten Situbondo,Agustus 2022,2121.37,32.7,66.84,27.38,20.31,10.97,10642.09
Kabupaten Situbondo,September 2022,608.57,31.6,65.07,28.17,19.35,11.01,3519.25
Kabupaten Situbondo,Oktober 2022,1139.2,227.4,77.29,27.03,14.89,10.28,6597.2
Kabupaten Situbondo,November 2022,1046.26,258.3,84.43,26.56,12.03,8.92,6058.98
Kabupaten Situbondo,Desember 2022,908.45,265.2,80.84,26.54,14.71,9.14,5260.91
Kabupaten Situbondo,Januari 2023,1044.93,287.4,83.06,26.28,13.99,9.62,5865.85
Kabupaten Situbondo,Februari 2023,3203.41,343.1,86.46,25.99,17.67,8.53,18113.03
Kabupaten Situbondo,Maret 2023,6640.17,277.5,84.48,26.3,12.0,10.5,37524.24
Kabupaten Situbondo,April 2023,3326.3,215.9,83.37,26.77,12.28,9.92,18807.88
Kabupaten Situbondo,Mei 2023,1448.08,39.5,72.26,27.23,16.26,10.56,8077.69
Kabupaten Situbondo,Juni 2023,2561.7,14.4,68.7,27.52,16.97,10.88,14309.73
Kabupaten Situbondo,Juli 2023,3038.31,26.2,67.61,26.81,15.64,10.65,16914.05
Kabupaten Situbondo,Agustus 2023,1980.64,0.0,65.39,26.69,21.66,11.0,11002.62
Kabupaten Situbondo,September 2023,1130.29,4.2,61.2,27.42,20.84,11.23,6449.08
Kabupaten Situbondo,Oktober 2023,1134.24,2.8,64.48,28.56,19.67,11.59,6479.55
Kabupaten Situbondo,November 2023,1008.59,86.6,69.0,29.01,16.84,11.5,5744.88
Kabupaten Situbondo,Desember 2023,1400.66,182.7,75.42,28.1,13.14,10.85,7984.65
Kabupaten Situbondo,Januari 2024,1404.05,240.6,82.26,27.34,13.63,9.47,8081.76
Kabupaten Situbondo,Februari 2024,2945.29,335.6,85.86,27.06,11.57,9.98,16968.77
Kabupaten Situbondo,Maret 2024,5177.42,281.8,85.87,26.97,13.73,9.12,29671.88
Kabupaten Situbondo,April 2024,5090.52,204.5,83.53,27.48,11.7,10.3,29128.21
Kabupaten Situbondo,Mei 2024,2862.35,15.5,71.71,28.1,16.55,10.85,14342.59
Kabupaten Situbondo,Juni 2024,1796.27,32.3,71.0,27.52,17.11,10.7,8999.3
Kabupaten Situbondo,Juli 2024,3298.95,16.1,66.45,26.89,17.03,10.77,16454.39
Kabupaten Situbondo,Agustus 2024,2508.35,2.3,62.0,27.43,17.9,11.0,12568.31
Kabupaten Situbondo,September 2024,1378.38,10.5,62.87,28.42,19.0,11.19,7389.73
Kabupaten Situbondo,Oktober 2024,1096.17,27.2,60.35,29.38,19.56,11.55,5877.32
Kabupaten Situbondo,November 2024,1429.64,173.4,75.37,28.37,15.28,11.06,7673.07
Kabupaten Situbondo,Desember 2024,947.68,469.0,84.97,26.75,12.51,8.07,5081.49
Kabupaten Probolinggo,Januari 2018,1356.0,511.3,86.06,25.75,11.67,6.4,5840.67
Kabupaten Probolinggo,Februari 2018,1443.0,534.1,86.29,25.63,11.52,8.3,6214.52
Kabupaten Probolinggo,Maret 2018,8881.0,254.7,83.77,26.16,15.84,10.34,37846.22
Kabupaten Probolinggo,April 2018,10037.0,86.5,81.43,26.6,16.11,10.81,43059.06
Kabupaten Probolinggo,Mei 2018,3450.0,8.4,73.45,27.06,23.47,10.79,17060.06
Kabupaten Probolinggo,Juni 2018,3448.0,15.5,74.37,26.44,25.4,10.63,17050.02
Kabupaten Probolinggo,Juli 2018,3065.0,3.8,73.48,25.32,31.56,10.75,15158.6
Kabupaten Probolinggo,Agustus 2018,2362.0,1.9,71.84,25.37,30.89,10.92,11666.79
Kabupaten Probolinggo,September 2018,1072.0,8.0,69.83,26.45,29.58,11.06,5562.79
Kabupaten Probolinggo,Oktober 2018,785.0,9.0,68.48,27.59,30.17,11.45,4070.21
Kabupaten Probolinggo,November 2018,1295.0,149.1,76.3,27.41,25.57,10.88,6717.08
Kabupaten Probolinggo,Desember 2018,1220.0,474.5,82.03,26.61,20.83,8.49,6329.6
Kabupaten Probolinggo,Januari 2019,1167.0,649.2,86.77,26.03,13.55,7.91,5766.51
Kabupaten Probolinggo,Februari 2019,2733.0,299.0,85.46,26.16,12.58,9.92,13003.79
Kabupaten Probolinggo,Maret 2019,5754.0,422.8,85.29,26.11,13.77,8.4,27662.79
Kabupaten Probolinggo,April 2019,10919.0,167.1,84.4,26.56,15.27,10.29,53481.5
Kabupaten Probolinggo,Mei 2019,5443.0,33.2,78.58,26.58,24.45,10.86,25464.75
Kabupaten Probolinggo,Juni 2019,3216.0,14.6,74.2,25.92,28.48,10.84,15048.7
Kabupaten Probolinggo,Juli 2019,3362.0,29.0,73.32,25.44,28.75,10.87,15738.2
Kabupaten Probolinggo,Agustus 2019,2281.0,8.9,70.61,25.6,29.94,10.98,10678.17
Kabupaten Probolinggo,September 2019,1303.0,6.9,68.83,26.35,29.11,11.05,7648.69
Kabupaten Probolinggo,Oktober 2019,1084.0,11.8,66.81,27.91,30.31,11.47,6361.25
Kabupaten Probolinggo,November 2019,1028.0,37.1,70.87,28.25,27.5,11.48,6032.75
Kabupaten Probolinggo,Desember 2019,1174.0,227.3,79.45,27.61,16.42,10.31,6887.4
Kabupaten Probolinggo,Januari 2020,1023.0,616.5,84.77,26.73,13.57,9.25,5347.87
Kabupaten Probolinggo,Februari 2020,1306.0,615.4,88.55,26.17,10.66,8.79,6829.49
Kabupaten Probolinggo,Maret 2020,2696.0,444.5,87.0,26.3,11.4,8.77,14058.96
Kabupaten Probolinggo,April 2020,11960.0,136.8,85.13,26.55,11.7,9.94,62418.31
Kabupaten Probolinggo,Mei 2020,7956.0,111.1,81.32,27.0,18.44,10.03,40301.9
Kabupaten Probolinggo,Juni 2020,2852.0,19.1,76.97,26.44,24.61,10.78,14433.52
Kabupaten Probolinggo,Juli 2020,2048.0,26.9,75.23,25.86,28.19,10.88,10376.46
Kabupaten Probolinggo,Agustus 2020,2619.0,14.9,73.16,26.25,27.9,10.62,13267.73
Kabupaten Probolinggo,September 2020,1848.0,35.7,72.93,26.93,29.73,10.97,10576.46
Kabupaten Probolinggo,Oktober 2020,905.0,138.2,78.0,26.76,26.48,10.29,5183.04
Kabupaten Probolinggo,November 2020,1205.0,133.8,78.9,27.12,21.25,9.9,6895.68
Kabupaten Probolinggo,Desember 2020,508.0,702.3,84.65,25.97,16.41,6.78,2910.64
Kabupaten Probolinggo,Januari 2021,1592.0,497.5,86.23,25.76,14.03,6.35,8283.92
Kabupaten Probolinggo,Februari 2021,1301.0,751.2,87.5,25.64,14.44,7.75,6768.22
Kabupaten Probolinggo,Maret 2021,6851.0,462.5,86.32,25.9,11.8,9.37,35428.08
Kabupaten Probolinggo,April 2021,11352.0,137.8,80.13,26.4,16.51,9.9,58849.01
Kabupaten Probolinggo,Mei 2021,4349.0,35.8,77.03,27.15,19.28,10.79,21612.15
Kabupaten Probolinggo,Juni 2021,2696.0,35.1,77.27,26.83,15.63,10.51,13397.62
Kabupaten Probolinggo,Juli 2021,1859.0,4.6,72.06,26.46,26.77,10.53,9235.7
Kabupaten Probolinggo,Agustus 2021,2574.0,42.1,75.71,26.25,28.46,11.0,12791.82
Kabupaten Probolinggo,September 2021,1382.0,49.6,74.77,26.61,28.62,10.76,7362.64
Kabupaten Probolinggo,Oktober 2021,655.0,36.5,72.1,27.38,29.88,11.31,3487.65
Kabupaten Probolinggo,November 2021,1112.0,226.3,80.8,26.6,18.14,8.21,5926.23
Kabupaten Probolinggo,Desember 2021,1321.0,502.3,82.68,26.55,16.92,9.07,7037.1
Kabupaten Probolinggo,Januari 2022,1308.08,574.9,84.94,25.79,13.09,8.11,7271.86
Kabupaten Probolinggo,Februari 2022,1245.11,451.7,86.71,25.42,13.66,8.41,6921.8
Kabupaten Probolinggo,Maret 2022,6431.87,435.1,84.77,26.06,14.72,9.16,35499.13
Kabupaten Probolinggo,April 2022,9067.0,114.2,82.03,26.32,16.83,9.94,50329.0
Kabupaten Probolinggo,Mei 2022,4734.75,110.8,80.29,26.77,14.93,9.81,25241.97
Kabupaten Probolinggo,Juni 2022,2467.06,47.9,76.83,26.4,20.93,10.45,13152.43
Kabupaten Probolinggo,Juli 2022,1757.42,34.4,74.13,26.15,24.4,10.85,9369.18
Kabupaten Probolinggo,Agustus 2022,2122.09,71.3,74.77,26.21,26.75,10.79,11313.32
Kabupaten Probolinggo,September 2022,1713.35,31.0,72.97,26.96,27.58,10.78,10317.5
Kabupaten Probolinggo,Oktober 2022,1125.63,179.9,78.32,26.41,24.32,9.45,6778.35
Kabupaten Probolinggo,November 2022,844.79,209.0,80.3,26.51,17.07,8.36,5087.18
Kabupaten Probolinggo,Desember 2022,685.97,292.1,78.97,26.54,17.73,8.84,4130.79
Kabupaten Probolinggo,Januari 2023,1905.37,580.5,82.42,26.13,16.49,8.72,10721.82
Kabupaten Probolinggo,Februari 2023,1989.98,633.1,87.75,25.39,12.72,6.33,11197.94
Kabupaten Probolinggo,Maret 2023,7548.2,343.7,84.32,25.98,12.92,9.78,42000.38
Kabupaten Probolinggo,April 2023,8442.56,215.2,81.97,26.5,15.49,9.46,47434.28
Kabupaten Probolinggo,Mei 2023,4113.62,28.7,73.84,26.9,22.39,10.37,23831.89
Kabupaten Probolinggo,Juni 2023,3229.88,33.8,74.27,26.85,24.19,10.88,18712.02
Kabupaten Probolinggo,Juli 2023,1771.4,10.0,74.16,25.93,30.03,10.55,10262.45
Kabupaten Probolinggo,Agustus 2023,2110.72,2.2,72.35,26.02,28.26,10.93,12228.27
Kabupaten Probolinggo,September 2023,1183.72,8.9,69.73,26.53,31.55,10.92,7278.12
Kabupaten Probolinggo,Oktober 2023,944.52,24.6,70.0,28.27,24.42,11.27,5807.39
Kabupaten Probolinggo,November 2023,865.51,93.2,72.93,28.41,24.62,11.29,5321.6
Kabupaten Probolinggo,Desember 2023,1016.21,277.0,74.16,27.96,23.68,10.49,6248.18
Kabupaten Probolinggo,Januari 2024,1118.52,507.2,83.48,26.99,14.36,9.41,5948.66
Kabupaten Probolinggo,Februari 2024,1336.5,455.7,86.97,26.64,11.93,9.3,7107.95
Kabupaten Probolinggo,Maret 2024,2642.77,432.0,85.87,26.71,13.58,8.44,14055.13
Kabupaten Probolinggo,April 2024,10027.9,239.0,84.53,27.09,14.95,9.76,52923.64
Kabupaten Probolinggo,Mei 2024,7479.7,16.5,77.29,27.54,23.18,10.85,39245.75
Kabupaten Probolinggo,Juni 2024,2526.9,31.8,74.83,27.26,22.61,10.77,13258.57
Kabupaten Probolinggo,Juli 2024,1669.77,27.3,73.23,26.28,27.64,10.69,8761.23
Kabupaten Probolinggo,Agustus 2024,1607.44,14.2,72.26,26.18,31.5,10.87,8434.19
Kabupaten Probolinggo,September 2024,2546.2,28.5,71.9,27.39,26.18,11.02,14882.92
Kabupaten Probolinggo,Oktober 2024,660.17,28.9,69.87,28.23,28.88,11.41,3858.76
Kabupaten Probolinggo,November 2024,744.52,258.0,80.8,27.32,14.1,10.17,4351.81
Kabupaten Probolinggo,Desember 2024,817.56,938.6,89.29,26.02,10.98,7.36,4778.77
Kabupaten Pasuruan,Januari 2018,2535.0,289.7,82.0,26.27,9.82,7.46,14519.62
Kabupaten Pasuruan,Februari 2018,2389.0,324.3,84.75,25.88,7.69,8.71,13649.11
Kabupaten Pasuruan,Maret 2018,4950.0,159.0,82.26,26.25,7.44,10.11,27413.51
Kabupaten Pasuruan,April 2018,10448.0,39.3,74.27,27.33,9.38,10.85,59298.9
Kabupaten Pasuruan,Mei 2018,5635.0,6.0,60.39,28.36,12.23,10.87,33119.09
Kabupaten Pasuruan,Juni 2018,2525.0,10.8,60.77,28.0,13.82,10.72,14856.06
Kabupaten Pasuruan,Juli 2018,4622.0,0.1,55.61,27.35,15.62,10.89,27140.07
Kabupaten Pasuruan,Agustus 2018,6576.0,1.4,54.97,27.2,17.79,10.99,38676.31
Kabupaten Pasuruan,September 2018,3568.0,1.2,51.93,28.29,17.43,11.01,20404.6
Kabupaten Pasuruan,Oktober 2018,3355.0,2.0,53.77,29.2,17.71,11.47,19241.56
Kabupaten Pasuruan,November 2018,3026.0,187.8,68.9,28.37,13.67,10.64,17319.64
Kabupaten Pasuruan,Desember 2018,2934.0,329.6,79.84,26.97,10.58,8.92,16828.02
Kabupaten Pasuruan,Januari 2019,3557.0,384.6,85.87,26.25,9.51,8.13,17441.8
Kabupaten Pasuruan,Februari 2019,2344.0,284.9,85.07,26.36,7.76,9.76,11672.32
Kabupaten Pasuruan,Maret 2019,4580.0,481.3,84.77,26.15,8.55,8.46,22051.7
Kabupaten Pasuruan,April 2019,11284.0,192.9,81.07,26.85,8.08,10.15,55680.27
Kabupaten Pasuruan,Mei 2019,6388.0,29.1,68.42,27.48,11.73,10.87,31136.33
Kabupaten Pasuruan,Juni 2019,3032.0,1.7,59.87,27.43,13.92,10.93,14802.12
Kabupaten Pasuruan,Juli 2019,3839.0,6.6,58.74,26.92,15.06,10.92,18759.13
Kabupaten Pasuruan,Agustus 2019,6024.0,5.0,56.61,27.22,16.75,10.95,29401.37
Kabupaten Pasuruan,September 2019,4026.0,2.0,56.37,27.7,14.85,11.11,21661.59
Kabupaten Pasuruan,Oktober 2019,2851.0,5.8,51.13,29.32,16.17,11.51,15323.09
Kabupaten Pasuruan,November 2019,3526.0,9.4,55.9,29.95,14.83,11.52,18972.72
